concept;items_spa;cats
Percepción meritocrática;Quienes más se esfuerzan logran obtener mayores recompensas que quienes se esfuerzan menos.;(1) Totalmente en desacuerdo (5) Totalmente de acuerdo
Percepción meritocrática;Quienes poseen más talento logran obtener mayores recompensas que quienes poseen menos talento.;(1) Totalmente en desacuerdo (5) Totalmente de acuerdo
Percepción meritocrática; Quienes tienen padres ricos logran salir adelante.;(1) Totalmente en desacuerdo (5) Totalmente de acuerdo
Percepción meritocrática;Quienes tienen buenos contactos logran salir adelante.;(1) Totalmente en desacuerdo (5) Totalmente de acuerdo
Preferencia meritocrática;Quienes más se esfuerzan deberían obtener mayores recompensas que quienes se esfuerzan menos.;(1) Totalmente en desacuerdo (5) Totalmente de acuerdo
Preferencia meritocrática;Quienes poseen más talento deberían obtener mayores recompensas que quienes poseen menos talento.;(1) Totalmente en desacuerdo (5) Totalmente de acuerdo
Preferencia meritocrática;Está bien que quienes tienen padres ricos salgan adelante.;(1) Totalmente en desacuerdo (5) Totalmente de acuerdo
Preferencia meritocrática;Está bien que quienes tienen buenos contactos salgan adelante.;(1) Totalmente en desacuerdo (5) Totalmente de acuerdo
